,Temperature_1,Temperature_2,Humidity_1,Humidity_2,Flow,Time,Temperature_Difference,PWM,Flow_Estimate,Target_Delta_T,Controller_Output_P,Controller_Output_I,Controller_Output_D,Controller_Output
0,19.308547973632812,20.053558349609375,0.0,0.0,59.87750244140625,1613225520.2734141,0.7450103759765625,0.0,0.0,6,0,0,0,0
1,19.3218994140625,20.02685546875,0.0,0.0,60.02906036376953,1613225520.5612202,0.7049560546875,0.0,0.0,6,0,0,0,0
2,19.308547973632812,20.040206909179688,0.0,0.0,60.06490707397461,1613225520.848707,0.731658935546875,0.0,0.0,6,0,0,0,0
3,19.3218994140625,20.040206909179688,0.0,0.0,59.99647521972656,1613225521.1367338,0.7183074951171875,0.0,0.0,6,0,0,0,0
4,19.295196533203125,20.02685546875,0.0,0.0,60.00542449951172,1613225521.4244246,0.731658935546875,0.0,0.0,6,0,0,0,0
5,19.308547973632812,20.013504028320312,0.0,0.0,59.88036346435547,1613225521.7126758,0.7049560546875,0.0,0.0,6,0,0,0,0
6,19.308547973632812,20.040206909179688,0.0,0.0,59.96753692626953,1613225521.9996314,0.731658935546875,0.0,0.0,6,0,0,0,0
7,19.295196533203125,20.02685546875,0.0,0.0,60.01602554321289,1613225522.287926,0.731658935546875,0.0,0.0,6,0,0,0,0
8,19.308547973632812,20.040206909179688,0.0,0.0,60.02131652832031,1613225522.5755713,0.731658935546875,0.0,0.0,6,0,0,0,0
9,19.335250854492188,20.02685546875,0.0,0.0,60.05921173095703,1613225522.8628287,0.6916046142578125,0.0,0.0,6,0,0,0,0
10,19.3218994140625,20.02685546875,0.0,0.0,59.9431037902832,1613225523.151735,0.7049560546875,0.0,0.0,6,0,0,0,0
11,19.308547973632812,20.013504028320312,0.0,0.0,60.09913635253906,1613225523.4390252,0.7049560546875,0.0,0.0,6,0,0,0,0
12,19.308547973632812,20.040206909179688,0.0,0.0,60.041290283203125,1613225523.7267954,0.731658935546875,0.0,0.0,6,0,0,0,0
13,19.308547973632812,20.040206909179688,0.0,0.0,59.848995208740234,1613225524.0140386,0.731658935546875,0.0,0.0,6,0,0,0,0
14,19.3218994140625,20.02685546875,0.0,0.0,59.9940185546875,1613225524.3018672,0.7049560546875,0.0,0.0,6,0,0,0,0
15,19.308547973632812,20.040206909179688,0.0,0.0,60.03761291503906,1613225524.590463,0.731658935546875,0.0,0.0,6,0,0,0,0
16,19.3218994140625,20.02685546875,0.0,0.0,59.997283935546875,1613225524.8775406,0.7049560546875,0.0,0.0,6,0,0,0,0
17,19.335250854492188,20.040206909179688,0.0,0.0,60.013980865478516,1613225525.1646447,0.7049560546875,0.0,0.0,6,0,0,0,0
18,19.3218994140625,20.02685546875,0.0,0.0,60.0616569519043,1613225525.453041,0.7049560546875,0.0,0.0,6,0,0,0,0
19,19.295196533203125,19.997482299804688,0.0,0.0,59.98994827270508,1613225525.7407405,0.7022857666015625,0.0,0.0,6,0,0,0,0
20,19.308547973632812,20.013504028320312,0.0,0.0,60.01765823364258,1613225526.0282524,0.7049560546875,0.0,0.0,6,0,0,0,0
21,19.308547973632812,20.02685546875,0.0,0.0,60.12398147583008,1613225526.3158395,0.7183074951171875,0.0,0.0,6,0,0,0,0
22,19.335250854492188,20.013504028320312,0.0,0.0,59.967552185058594,1613225526.6041462,0.678253173828125,0.0,0.0,6,0,0,0,0
23,19.308547973632812,20.02685546875,0.0,0.0,60.03721237182617,1613225526.891422,0.7183074951171875,1.0,3892.6044280028686,6,0,0,0,0
24,19.308547973632812,20.02685546875,0.0,0.0,60.00094985961914,1613225527.1796432,0.7183074951171875,1.0,3892.6044280028686,6,0,0,0,0
25,19.308547973632812,20.040206909179688,0.0,0.0,59.97772979736328,1613225527.4675686,0.731658935546875,1.0,3821.571500484569,6,0,0,0,0
26,19.308547973632812,20.053558349609375,0.0,0.0,59.92150115966797,1613225527.7548544,0.7450103759765625,1.0,3753.08455603144,6,0,0,0,0
27,19.3218994140625,20.125656127929688,0.0,0.0,59.93495178222656,1613225528.0424964,0.8037567138671875,1.0,3478.7727280158533,6,0,0,0,0
28,19.335250854492188,20.168380737304688,0.0,0.0,59.9940185546875,1613225528.3306136,0.8331298828125,1.0,3356.1236895281145,6,0,0,0,0
29,19.308547973632812,20.280532836914062,0.0,0.0,59.970794677734375,1613225528.6178794,0.97198486328125,1.0,2876.6774481669554,6,0,0,0,0
30,19.308547973632812,20.419387817382812,0.0,0.0,59.93495559692383,1613225528.9060204,1.11083984375,1.0,2517.092767146086,6,0,0,0,0
31,19.3218994140625,20.576934814453125,0.0,0.0,60.03435134887695,1613225529.1940582,1.255035400390625,1.0,2227.8948747505783,6,0,0,0,0
32,19.308547973632812,20.787887573242188,0.0,0.0,59.882389068603516,1613225529.4819515,1.479339599609375,1.0,1890.091319734245,6,0,0,0,0
33,19.308547973632812,20.99884033203125,0.0,0.0,60.00992202758789,1613225529.7697084,1.6902923583984375,1.0,1654.2031455494025,6,0,0,0,0
34,19.308547973632812,21.268539428710938,0.0,0.0,60.05879592895508,1613225530.057848,1.959991455078125,1.0,1426.5811868293893,6,0,0,0,0
35,19.3218994140625,21.506195068359375,0.0,0.0,60.033138275146484,1613225530.3446445,2.184295654296875,1.0,1280.0862972283273,6,0,0,0,0
36,19.308547973632812,21.802597045898438,0.0,0.0,60.000545501708984,1613225530.6329134,2.494049072265625,1.0,1121.1034166303766,6,0,0,0,0
37,19.295196533203125,22.08831787109375,0.0,0.0,59.95449447631836,1613225530.9208446,2.793121337890625,1.0,1001.0617506049445,6,0,0,0,0
